data,faturamento_efetivado,faturamento_pendente,qtd_vendas_efetivadas,qtd_vendas_pendentes
2027-03-30,2106.0,0.0,10,0
2027-03-31,2695.0,0.0,9,0
2027-04-01,1717.0,0.0,6,0
2027-04-02,1799.0,0.0,7,0
2027-04-06,2402.0,0.0,11,0
2027-04-07,2833.0,0.0,14,0
2027-04-08,2109.0,0.0,7,0
2027-04-09,1791.0,0.0,10,0
2027-04-10,2673.0,0.0,8,0
2027-04-13,1283.0,0.0,10,0
2027-04-14,4956.0,0.0,12,0
2027-04-15,1472.0,0.0,8,0
2027-04-16,1242.0,0.0,6,0
2027-04-17,1026.0,0.0,5,0
2027-04-20,1296.0,0.0,4,0
2027-04-21,467.0,0.0,2,0
2027-04-22,2849.0,0.0,10,0
2027-04-23,1438.0,0.0,5,0
2027-04-24,2383.0,0.0,10,0
2027-04-27,1458.0,0.0,8,0
2027-04-28,4366.0,0.0,11,0
2027-04-29,1827.0,0.0,8,0
2027-04-30,1451.0,0.0,8,0
2027-05-01,64.0,0.0,2,0
2027-05-04,2460.0,0.0,12,0
2027-05-05,2374.0,0.0,9,0
2027-05-06,3425.0,0.0,10,0
2027-05-07,2121.0,0.0,10,0
2027-05-08,1831.0,0.0,8,0
2027-05-11,2527.0,0.0,12,0
2027-05-12,3790.0,0.0,12,0
2027-05-13,1503.0,0.0,10,0
2027-05-14,1210.0,0.0,8,0
2027-05-15,686.0,0.0,5,0
2027-05-18,3329.0,0.0,11,0
2027-05-19,3595.0,0.0,12,0
2027-05-20,2047.0,0.0,8,0
2027-05-21,1778.0,0.0,8,0
2027-05-22,944.0,0.0,7,0
2027-05-25,2095.0,0.0,8,0
2027-05-26,3085.0,0.0,12,0
2027-05-27,2700.0,0.0,10,0
2027-05-28,2175.0,0.0,8,0
2027-05-29,1340.0,0.0,6,0
2027-06-01,1965.0,0.0,10,0
2027-06-02,3584.0,0.0,12,0
2027-06-03,1174.0,0.0,8,0
2027-06-04,43.0,0.0,1,0
2027-06-05,331.0,0.0,2,0
2027-06-08,3967.0,0.0,12,0
2027-06-09,3414.0,0.0,13,0
2027-06-10,1508.0,0.0,6,0
2027-06-11,1195.0,0.0,6,0
2027-06-12,873.0,0.0,5,0
2027-06-15,2042.0,0.0,10,0
2027-06-16,2813.0,0.0,12,0
2027-06-17,2204.0,0.0,8,0
2027-06-18,2363.0,0.0,8,0
2027-06-19,411.0,0.0,4,0
2027-06-22,2671.0,0.0,11,0
2027-06-23,4343.0,0.0,13,0
2027-06-24,1208.0,0.0,6,0
